nuts,time,area,population
ES11,2023,29375,2699424
ES12,2023,10565,1006060
ES13,2023,5268,588387
ES21,2023,7190,2216302
ES22,2023,10347,672155
ES23,2023,5031,322282
ES24,2023,47458,1341289
ES30,2023,7972,6871903
ES41,2023,93806,2383703
ES42,2023,79109,2084086
ES43,2023,40922,1054306
ES51,2023,31964,7901963
ES52,2023,23135,5216195
ES53,2023,4973,1209906
ES61,2023,86781,8584147
ES62,2023,11302,1551692
ES63,2023,20,83052
ES64,2023,14,85493
ES70,2023,7422,2213016
